2025-04-16 18:19:10,Xe tải,1,frames/frame_2025-04-16 18-19-10.jpg,Unknown
2025-04-16 18:19:11,Xe tải,1,frames/frame_2025-04-16 18-19-11.jpg,Unknown
2025-04-16 18:19:11,Xe tải,1,frames/frame_2025-04-16 18-19-11.jpg,Unknown
2025-04-16 18:19:11,Xe tải,1,frames/frame_2025-04-16 18-19-11.jpg,Unknown
2025-04-16 18:19:11,Xe tải,1,frames/frame_2025-04-16 18-19-11.jpg,Unknown
2025-04-16 18:19:12,Xe tải,1,frames/frame_2025-04-16 18-19-12.jpg,Unknown
2025-04-16 18:19:12,Xe tải,1,frames/frame_2025-04-16 18-19-12.jpg,Unknown
2025-04-16 18:19:12,Xe tải,1,frames/frame_2025-04-16 18-19-12.jpg,Unknown
2025-04-16 18:36:57,Xe tải,1,frames/frame_2025-04-16 18-36-57.jpg,Unknown
2025-04-16 18:36:57,Xe máy,2,frames/frame_2025-04-16 18-36-57.jpg,Unknown
2025-04-16 18:36:57,Xe máy,2,frames/frame_2025-04-16 18-36-57.jpg,Unknown
2025-04-16 18:36:57,Ô tô,1,frames/frame_2025-04-16 18-36-57.jpg,Unknown
2025-04-16 18:36:58,Xe tải,1,frames/frame_2025-04-16 18-36-58.jpg,Unknown
2025-04-16 18:36:58,Xe máy,2,frames/frame_2025-04-16 18-36-58.jpg,Unknown
2025-04-16 18:36:58,Xe tải,1,frames/frame_2025-04-16 18-36-58.jpg,Unknown
2025-04-16 18:36:58,Ô tô,1,frames/frame_2025-04-16 18-36-58.jpg,Unknown
2025-04-16 18:36:59,Xe tải,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:36:59,Ô tô,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:36:59,Xe tải,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:36:59,Ô tô,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:36:59,Xe tải,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:36:59,Ô tô,1,frames/frame_2025-04-16 18-36-59.jpg,Unknown
2025-04-16 18:37:00,Ô tô,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
2025-04-16 18:37:00,Xe tải,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
2025-04-16 18:37:00,Ô tô,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
2025-04-16 18:37:00,Xe tải,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
2025-04-16 18:37:00,Xe tải,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
2025-04-16 18:37:00,Ô tô,1,frames/frame_2025-04-16 18-37-00.jpg,Unknown
